Name,Part family,Type,Design,Order,V&V,Notes,Design Intend,Image,Material,Product name,Supplier Order,Interface with,Link,Supplier,Datasheet,Amount,Cost,Total cost,Count (Interface with)
Silicone gun,Box,Tool,Done,Recieved,Good,,,,,174-791,174-791,,https://dk.rs-online.com/web/p/dispenserpistoler/0174791,RS components,,1,DKK53.00,DKK53.00,0
M5 Nut for 2020 (not 5mm),Box,Consumable,Done,Recieved,Good,,,,Steel,180-9104,180-9104,,https://dk.rs-online.com/web/p/forbindelseskomponenter/1809104/,RS components,,4,DKK79.00,DKK316.00,0
Silicone,Box,Consumable,Done,Recieved,Good,,,,,DOW DOWSIL 7091 ,2756048,,https://www.diatom.dk/kemi/lim/silikonelim/dow-dowsil-7091-silikonelim-og-taetning-graa/,Diatom,,3,DKK140.00,DKK420.00,0
M8 8mm Not T-nut,Box,Consumable,Done,Recieved,Good,,,,,224-7637,224-7637,,https://dk.rs-online.com/web/p/forbindelseskomponenter/2247637/,RS components,,6,DKK45.00,DKK270.00,0
M4 Nut for 2020 (not 5mm),Box,Consumable,Done,Recieved,Good,,,,,180-9103,180-9103,,https://dk.rs-online.com/web/p/forbindelseskomponenter/1809103/,RS components,,2,DKK79.00,DKK158.00,0
M8x12 Button head screws,Box,Consumable,Done,Recieved,Good,,,,,0281338,0281338,,https://dk.rs-online.com/web/p/skruer-med-indvendig-6-kant/0281338,RS components,,1,DKK76.00,DKK76.00,0
M5x8 Button head screws,Box,Consumable,Done,Recieved,Good,,,,,822-9114,822-9114,,https://dk.rs-online.com/web/p/products/8229114/,RS components,,1,DKK35.00,DKK35.00,0
M5x12 Button head screws,Box,Consumable,Done,Recieved,,,Longer screws for box,,,281-265,281-265,,https://dk.rs-online.com/web/p/skruer-med-indvendig-6-kant/0281265,RS components,,,DKK40.00,DKK0.00,0
Left Side Box,Box,Custom,Done,Recieved,Slight modifications,Holes along top bend are off which makes the side bow outwards in a v-shape. They were drilled by hand and should be fixed by being laser cut the next time,,,Stainless steel,,,"Print Platform,Top Side,Front Side Box,Back Box",,DTU,,1,,DKK0.00,4
Front Door,Box,Custom,Done,Recieved,Slight modifications,Holes were without threads. Drawings are correct. Could be stiffer,Door with window for viewing the process. Has rubber seal and air tight handle,,Aluminium,,,Front Side Box,,DTU,,1,DKK100.00,DKK100.00,1
